BookingReference,Created Date,Reference,Attendee Status,Attended
B893470,21/10/2020,A961305,Attending,
B893472,21/10/2020,A961307,Attending,
B893474,21/10/2020,A961309,Attending,
B893475,21/10/2020,A961310,Attending,
B893476,21/10/2020,A961311,Attending,
B893477,21/10/2020,A961312,Attending,
B893478,21/10/2020,A961313,Attending,
B893482,21/10/2020,A961317,Cancelled,
B893485,21/10/2020,A961320,Attending,
B893487,21/10/2020,A961322,Attending,
B893489,21/10/2020,A961324,Attending,
B893490,21/10/2020,A961325,Attending,
B893492,21/10/2020,A961327,Attending,
B893494,21/10/2020,A961329,Attending,
B893497,21/10/2020,A961332,Attending,
B893498,21/10/2020,A961333,Attending,
B893499,21/10/2020,A961334,Attending,
B893502,21/10/2020,A961337,Attending,
B893503,21/10/2020,A961338,Attending,
B893504,21/10/2020,A961339,Attending,
B893507,21/10/2020,A961342,Attending,
B893508,21/10/2020,A961343,Attending,
B893509,21/10/2020,A961344,Attending,
B893510,21/10/2020,A961345,Attending,
B893510,21/10/2020,A961346,Cancelled,
B893510,21/10/2020,A961347,Attending,
B893512,21/10/2020,A961349,Attending,
B893517,21/10/2020,A961354,Attending,
B893518,21/10/2020,A961355,Attending,
B893519,21/10/2020,A961356,Attending,
B893521,21/10/2020,A961358,Attending,
B893526,21/10/2020,A961363,Attending,
B893527,21/10/2020,A961364,Attending,
B893528,21/10/2020,A961365,Attending,
B893529,21/10/2020,A961366,Attending,
B893529,21/10/2020,A961367,Attending,
B893530,21/10/2020,A961368,Attending,
B893531,21/10/2020,A961369,Attending,
B893533,21/10/2020,A961371,Attending,
B893535,21/10/2020,A961373,Attending,
B893537,21/10/2020,A961375,Attending,
B893539,21/10/2020,A961377,Attending,
B893545,21/10/2020,A961383,Attending,
B893545,21/10/2020,A961384,Attending,
B893555,21/10/2020,A961394,Attending,
B893558,21/10/2020,A961397,Attending,
B893559,21/10/2020,A961398,Cancelled,
B893565,21/10/2020,A961404,Attending,
B893573,21/10/2020,A961412,Attending,
B893579,21/10/2020,A961418,Attending,
B893580,21/10/2020,A961419,Attending,
B893581,21/10/2020,A961420,Attending,
B893584,21/10/2020,A961423,Attending,
