BookingReference,Created Date,Reference,Attendee Status,Attended
B1186120,09/07/2023,A1259597,Attending,Yes
B1186121,09/07/2023,A1259598,Attending,Yes
B1186129,09/07/2023,A1259606,Attending,
B1186255,09/07/2023,A1259733,Attending,Yes
B1186261,09/07/2023,A1259739,Attending,Yes
B1186298,09/07/2023,A1259777,Attending,Yes
B1186302,10/07/2023,A1259781,Attending,Yes
B1186313,10/07/2023,A1259792,Attending,
B1186391,11/07/2023,A1259870,Attending,Yes
B1186589,11/07/2023,A1260069,Attending,No
B1186596,11/07/2023,A1260076,Attending,Yes
